subject,grade,year,stat,group,value,displayable
RED,8,2007,MN:MN,None,267.154286039217,1
RED,8,2007,MN:MN,1-2 days,264.256785145979,1
RED,8,2007,MN:MN,3-4 days,255.355064705545,1
RED,8,2007,MN:MN,5-10 days,251.134944907308,1
RED,8,2007,MN:MN,More than 10 days,232.010682801183,1
RED,8,2002,RP:RP,None,44.7433790253134,1
RED,8,2002,RP:RP,1-2 days,35.4782986094419,1
RED,8,2002,RP:RP,3-4 days,12.9290449659426,1
RED,8,2002,RP:RP,5-10 days,4.85048366971114,1
RED,8,2002,RP:RP,More than 10 days,1.99879372959092,1
RED,8,2003,RP:RP,None,43.7526666934375,1
RED,8,2003,RP:RP,1-2 days,34.6251234502466,1
RED,8,2003,RP:RP,3-4 days,13.9099192559498,1
RED,8,2003,RP:RP,5-10 days,5.55612809400585,1
RED,8,2003,RP:RP,More than 10 days,2.1561625063603,1
RED,8,2005,RP:RP,None,44.7048622388163,1
RED,8,2005,RP:RP,1-2 days,34.8300872804654,1
RED,8,2005,RP:RP,3-4 days,13.1029370128937,1
RED,8,2005,RP:RP,5-10 days,5.23094281998494,1
RED,8,2005,RP:RP,More than 10 days,2.13117064783964,1
RED,8,2007,RP:RP,None,45.2301474493628,1
RED,8,2007,RP:RP,1-2 days,34.8342902029199,1
RED,8,2007,RP:RP,3-4 days,12.8578293321163,1
RED,8,2007,RP:RP,5-10 days,4.96784660990516,1
RED,8,2007,RP:RP,More than 10 days,2.10988640569583,1
RED,8,2009,MN:MN,None,267.781803014085,1
RED,8,2009,MN:MN,1-2 days,265.364529914413,1
RED,8,2009,MN:MN,3-4 days,257.077654856038,1
RED,8,2009,MN:MN,5-10 days,253.763895555259,1
RED,8,2009,MN:MN,More than 10 days,232.140227467312,1
RED,8,2011,MN:MN,None,269.151687408951,1
RED,8,2011,MN:MN,1-2 days,266.391545055048,1
RED,8,2011,MN:MN,3-4 days,258.077248743872,1
RED,8,2011,MN:MN,5-10 days,252.607974813643,1
RED,8,2011,MN:MN,More than 10 days,235.132309130158,1
RED,8,2013,MN:MN,None,271.329393882018,1
RED,8,2013,MN:MN,1-2 days,268.528660769491,1
RED,8,2013,MN:MN,3-4 days,260.466896314647,1
RED,8,2013,MN:MN,5-10 days,257.685881733436,1
RED,8,2013,MN:MN,More than 10 days,242.283021254492,1
RED,8,2015,MN:MN,None,270.117790015366,1
RED,8,2015,MN:MN,1-2 days,266.145545663534,1
RED,8,2015,MN:MN,3-4 days,257.210890515616,1
RED,8,2015,MN:MN,5-10 days,251.059398962112,1
RED,8,2015,MN:MN,More than 10 days,235.513972962819,1
RED,8,2009,RP:RP,None,45.7841983756486,1
RED,8,2009,RP:RP,1-2 days,34.8267216523918,1
RED,8,2009,RP:RP,3-4 days,12.6425589552168,1
RED,8,2009,RP:RP,5-10 days,4.94642508341915,1
RED,8,2009,RP:RP,More than 10 days,1.80009593332364,1
RED,8,2011,RP:RP,None,45.4383553444865,1
RED,8,2011,RP:RP,1-2 days,35.3436575709894,1
RED,8,2011,RP:RP,3-4 days,12.9830702629553,1
RED,8,2011,RP:RP,5-10 days,4.64578981161656,1
RED,8,2011,RP:RP,More than 10 days,1.58912700995216,1
RED,8,2013,RP:RP,None,44.4371076839146,1
RED,8,2013,RP:RP,1-2 days,36.4977323530214,1
RED,8,2013,RP:RP,3-4 days,12.8809592608145,1
RED,8,2013,RP:RP,5-10 days,4.74202801141538,1
RED,8,2013,RP:RP,More than 10 days,1.44217269083409,1
RED,8,2015,RP:RP,None,45.3238329221303,1
RED,8,2015,RP:RP,1-2 days,36.3386136224195,1
RED,8,2015,RP:RP,3-4 days,12.4628367320146,1
RED,8,2015,RP:RP,5-10 days,4.43611398225953,1
RED,8,2015,RP:RP,More than 10 days,1.43860274117608,1
RED,8,2017,MN:MN,None,270.636688354965,1
RED,8,2017,MN:MN,1-2 days,267.946045418175,1
RED,8,2017,MN:MN,3-4 days,260.370916375895,1
RED,8,2017,MN:MN,5-10 days,255.781539689727,1
RED,8,2017,MN:MN,More than 10 days,236.41699811297,1
RED,8,2019,MN:MN,None,268.307011673943,1
RED,8,2019,MN:MN,1-2 days,264.255338641612,1
RED,8,2019,MN:MN,3-4 days,255.819543700622,1
RED,8,2019,MN:MN,5-10 days,248.968817169742,1
RED,8,2019,MN:MN,More than 10 days,226.401923585217,1
RED,8,2022,MN:MN,None,267.222278979238,1
RED,8,2022,MN:MN,1-2 days,262.211463729105,1
RED,8,2022,MN:MN,3-4 days,255.012660269079,1
RED,8,2022,MN:MN,5-10 days,252.083026864309,1
RED,8,2022,MN:MN,More than 10 days,239.952771122139,1
RED,8,2024,MN:MN,None,263.806661510908,1
RED,8,2024,MN:MN,1-2 days,260.970771394734,1
RED,8,2024,MN:MN,3-4 days,253.160754589263,1
RED,8,2024,MN:MN,5-10 days,247.131150762039,1
RED,8,2024,MN:MN,More than 10 days,227.82443437925,1
RED,8,2017,RP:RP,None,41.3562285131739,1
RED,8,2017,RP:RP,1-2 days,38.3452718726651,1
RED,8,2017,RP:RP,3-4 days,13.8581502312729,1
RED,8,2017,RP:RP,5-10 days,4.98269357586238,1
RED,8,2017,RP:RP,More than 10 days,1.45765580702567,1
RED,8,2019,RP:RP,None,41.3824868317667,1
RED,8,2019,RP:RP,1-2 days,37.913863833924,1
RED,8,2019,RP:RP,3-4 days,13.8011483637049,1
RED,8,2019,RP:RP,5-10 days,5.12738759921843,1
RED,8,2019,RP:RP,More than 10 days,1.775113371386,1
RED,8,2022,RP:RP,None,34.5807843356047,1
RED,8,2022,RP:RP,1-2 days,33.4639476251955,1
RED,8,2022,RP:RP,3-4 days,16.2532315621874,1
RED,8,2022,RP:RP,5-10 days,10.7442051669183,1
RED,8,2022,RP:RP,More than 10 days,4.95783131009404,1
RED,8,2024,RP:RP,None,33.0832677331396,1
RED,8,2024,RP:RP,1-2 days,37.4676054136796,1
RED,8,2024,RP:RP,3-4 days,18.4546195030854,1
RED,8,2024,RP:RP,5-10 days,8.01933533741968,1
RED,8,2024,RP:RP,More than 10 days,2.97517201267574,1
MAT,4,2003,MN:MN,None,238.42626379408,1
MAT,4,2003,MN:MN,1-2 days,234.23059128674,1
MAT,4,2003,MN:MN,3-4 days,230.581136066683,1
MAT,4,2003,MN:MN,5-10 days,231.968728307087,1
MAT,4,2003,MN:MN,More than 10 days,214.195784443416,1
MAT,4,2005,MN:MN,None,241.239460318063,1
MAT,4,2005,MN:MN,1-2 days,237.27523019141,1
MAT,4,2005,MN:MN,3-4 days,232.690757539323,1
MAT,4,2005,MN:MN,5-10 days,232.8107184462,1
MAT,4,2005,MN:MN,More than 10 days,215.240602172686,1
MAT,4,2007,MN:MN,None,243.655370769618,1
MAT,4,2007,MN:MN,1-2 days,238.905138806893,1
MAT,4,2007,MN:MN,3-4 days,233.782917120447,1
MAT,4,2007,MN:MN,5-10 days,232.705443114239,1
MAT,4,2007,MN:MN,More than 10 days,216.545848000162,1
MAT,4,2003,RP:RP,None,48.2659342258764,1
MAT,4,2003,RP:RP,1-2 days,29.8463440043512,1
MAT,4,2003,RP:RP,3-4 days,13.3038409914392,1
MAT,4,2003,RP:RP,5-10 days,5.69880015705358,1
MAT,4,2003,RP:RP,More than 10 days,2.88508062127953,1
MAT,4,2005,RP:RP,None,51.1347356923846,1
MAT,4,2005,RP:RP,1-2 days,29.5591347480791,1
MAT,4,2005,RP:RP,3-4 days,11.7192155024845,1
MAT,4,2005,RP:RP,5-10 days,4.94107242896157,1
MAT,4,2005,RP:RP,More than 10 days,2.64584162809032,1
MAT,4,2007,RP:RP,None,50.9351754933419,1
MAT,4,2007,RP:RP,1-2 days,29.8643275851567,1
MAT,4,2007,RP:RP,3-4 days,11.8733498759468,1
MAT,4,2007,RP:RP,5-10 days,4.77594113709139,1
MAT,4,2007,RP:RP,More than 10 days,2.55120590846323,1
MAT,8,2003,MN:MN,None,282.604409237477,1
MAT,8,2003,MN:MN,1-2 days,279.111972708566,1
MAT,8,2003,MN:MN,3-4 days,270.336495254442,1
MAT,8,2003,MN:MN,5-10 days,265.009865079775,1
MAT,8,2003,MN:MN,More than 10 days,248.447701723926,1
MAT,8,2005,MN:MN,None,284.406901466778,1
MAT,8,2005,MN:MN,1-2 days,279.912070625776,1
MAT,8,2005,MN:MN,3-4 days,269.538523905297,1
MAT,8,2005,MN:MN,5-10 days,265.2475847453,1
MAT,8,2005,MN:MN,More than 10 days,249.648585769296,1
MAT,8,2007,MN:MN,None,287.247595778414,1
MAT,8,2007,MN:MN,1-2 days,281.904096075339,1
MAT,8,2007,MN:MN,3-4 days,271.398215615615,1
MAT,8,2007,MN:MN,5-10 days,266.208509792089,1
MAT,8,2007,MN:MN,More than 10 days,251.378398760809,1
MAT,8,2003,RP:RP,None,43.8362122533632,1
MAT,8,2003,RP:RP,1-2 days,34.2218903311242,1
MAT,8,2003,RP:RP,3-4 days,13.8709520617543,1
MAT,8,2003,RP:RP,5-10 days,5.7455256223617,1
MAT,8,2003,RP:RP,More than 10 days,2.32541973139664,1
MAT,8,2005,RP:RP,None,44.5736078448185,1
MAT,8,2005,RP:RP,1-2 days,34.4814317327381,1
MAT,8,2005,RP:RP,3-4 days,13.1995121018537,1
MAT,8,2005,RP:RP,5-10 days,5.44876379558963,1
MAT,8,2005,RP:RP,More than 10 days,2.29668452500009,1
MAT,8,2007,RP:RP,None,45.5221782720906,1
MAT,8,2007,RP:RP,1-2 days,34.6126646833963,1
MAT,8,2007,RP:RP,3-4 days,12.7782915225166,1
MAT,8,2007,RP:RP,5-10 days,5.00705497662648,1
MAT,8,2007,RP:RP,More than 10 days,2.07981054536999,1
