dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype_pct,MAT,4,2013,NT,PC:P9,SCHTYPE,Department of Defense,275.642999267578,0,1
schtype_pct,MAT,4,2015,NT,PC:P1,SCHTYPE,Public,200.894499969482,0,1
schtype_pct,MAT,4,2015,NT,PC:P2,SCHTYPE,Public,220.614499664307,0,1
schtype_pct,MAT,4,2015,NT,PC:P5,SCHTYPE,Public,241.183499908447,0,1
schtype_pct,MAT,4,2015,NT,PC:P7,SCHTYPE,Public,260.392500305176,0,1
schtype_pct,MAT,4,2015,NT,PC:P9,SCHTYPE,Public,276.895997619629,0,1
schtype_pct,MAT,4,2015,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P1,SCHTYPE,Catholic,213.983500671387,0,1
schtype_pct,MAT,4,2015,NT,PC:P2,SCHTYPE,Catholic,230.287500762939,0,1
schtype_pct,MAT,4,2015,NT,PC:P5,SCHTYPE,Catholic,247.790999603271,0,1
schtype_pct,MAT,4,2015,NT,PC:P7,SCHTYPE,Catholic,264.238998413086,0,1
schtype_pct,MAT,4,2015,NT,PC:P9,SCHTYPE,Catholic,278.86549987793,0,1
schtype_pct,MAT,4,2015,NT,PC:P1,SCHTYPE,Bureau of Indian Education,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P2,SCHTYPE,Bureau of Indian Education,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P5,SCHTYPE,Bureau of Indian Education,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P7,SCHTYPE,Bureau of Indian Education,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P9,SCHTYPE,Bureau of Indian Education,999,272,0
schtype_pct,MAT,4,2015,NT,PC:P1,SCHTYPE,Department of Defense,214.624501037598,0,1
schtype_pct,MAT,4,2015,NT,PC:P2,SCHTYPE,Department of Defense,230.89700012207,0,1
schtype_pct,MAT,4,2015,NT,PC:P5,SCHTYPE,Department of Defense,248.368000030518,0,1
schtype_pct,MAT,4,2015,NT,PC:P7,SCHTYPE,Department of Defense,265.199502563477,0,1
schtype_pct,MAT,4,2015,NT,PC:P9,SCHTYPE,Department of Defense,279.004000854492,0,1
schtype_pct,MAT,4,2017,NT,PC:P1,SCHTYPE,Public,197.272500610352,0,1
schtype_pct,MAT,4,2017,NT,PC:P2,SCHTYPE,Public,218.514499664307,0,1
schtype_pct,MAT,4,2017,NT,PC:P5,SCHTYPE,Public,240.704000091553,0,1
schtype_pct,MAT,4,2017,NT,PC:P7,SCHTYPE,Public,261.27799987793,0,1
schtype_pct,MAT,4,2017,NT,PC:P9,SCHTYPE,Public,278.593501281738,0,1
schtype_pct,MAT,4,2017,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2017,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2017,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2017,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2017,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2017,NT,PC:P1,SCHTYPE,Catholic,208.895999908447,0,1
schtype_pct,MAT,4,2017,NT,PC:P2,SCHTYPE,Catholic,227.412000274658,0,1
schtype_pct,MAT,4,2017,NT,PC:P5,SCHTYPE,Catholic,246.836499023437,0,1
schtype_pct,MAT,4,2017,NT,PC:P7,SCHTYPE,Catholic,264.065498352051,0,1
schtype_pct,MAT,4,2017,NT,PC:P9,SCHTYPE,Catholic,279.274501037598,0,1
schtype_pct,MAT,4,2017,NT,PC:P1,SCHTYPE,Bureau of Indian Education,185.584999084473,0,1
schtype_pct,MAT,4,2017,NT,PC:P2,SCHTYPE,Bureau of Indian Education,198.131999969482,0,1
schtype_pct,MAT,4,2017,NT,PC:P5,SCHTYPE,Bureau of Indian Education,215.583501434326,0,1
schtype_pct,MAT,4,2017,NT,PC:P7,SCHTYPE,Bureau of Indian Education,231.686500549316,0,1
schtype_pct,MAT,4,2017,NT,PC:P9,SCHTYPE,Bureau of Indian Education,249.623999786377,0,1
schtype_pct,MAT,4,2017,NT,PC:P1,SCHTYPE,Department of Defense,216.294499969482,0,1
schtype_pct,MAT,4,2017,NT,PC:P2,SCHTYPE,Department of Defense,232.27500076294,0,1
schtype_pct,MAT,4,2017,NT,PC:P5,SCHTYPE,Department of Defense,249.381500244141,0,1
schtype_pct,MAT,4,2017,NT,PC:P7,SCHTYPE,Department of Defense,265.675999450684,0,1
schtype_pct,MAT,4,2017,NT,PC:P9,SCHTYPE,Department of Defense,280.288500976563,0,1
schtype_pct,MAT,4,2019,NT,PC:P1,SCHTYPE,Public,198.185500335693,0,1
schtype_pct,MAT,4,2019,NT,PC:P2,SCHTYPE,Public,219.825501251221,0,1
schtype_pct,MAT,4,2019,NT,PC:P5,SCHTYPE,Public,241.603998565674,0,1
schtype_pct,MAT,4,2019,NT,PC:P7,SCHTYPE,Public,261.909498596192,0,1
schtype_pct,MAT,4,2019,NT,PC:P9,SCHTYPE,Public,279.461000061035,0,1
schtype_pct,MAT,4,2019,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2019,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2019,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2019,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2019,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2019,NT,PC:P1,SCHTYPE,Catholic,210.248000335693,0,1
schtype_pct,MAT,4,2019,NT,PC:P2,SCHTYPE,Catholic,228.385499572754,0,1
schtype_pct,MAT,4,2019,NT,PC:P5,SCHTYPE,Catholic,247.475501251221,0,1
schtype_pct,MAT,4,2019,NT,PC:P7,SCHTYPE,Catholic,265.571000671387,0,1
schtype_pct,MAT,4,2019,NT,PC:P9,SCHTYPE,Catholic,280.696499633789,0,1
schtype_pct,MAT,4,2019,NT,PC:P1,SCHTYPE,Bureau of Indian Education,179.876499938965,0,1
schtype_pct,MAT,4,2019,NT,PC:P2,SCHTYPE,Bureau of Indian Education,197.612500762939,0,1
schtype_pct,MAT,4,2019,NT,PC:P5,SCHTYPE,Bureau of Indian Education,216.086998748779,0,1
schtype_pct,MAT,4,2019,NT,PC:P7,SCHTYPE,Bureau of Indian Education,233.735498046875,0,1
schtype_pct,MAT,4,2019,NT,PC:P9,SCHTYPE,Bureau of Indian Education,248.461000061035,0,1
schtype_pct,MAT,4,2019,NT,PC:P1,SCHTYPE,Department of Defense,218.646499633789,0,1
schtype_pct,MAT,4,2019,NT,PC:P2,SCHTYPE,Department of Defense,234.523501586914,0,1
schtype_pct,MAT,4,2019,NT,PC:P5,SCHTYPE,Department of Defense,251.306500244141,0,1
schtype_pct,MAT,4,2019,NT,PC:P7,SCHTYPE,Department of Defense,267.67149810791,0,1
schtype_pct,MAT,4,2019,NT,PC:P9,SCHTYPE,Department of Defense,281.802998352051,0,1
schtype_pct,MAT,4,2022,NT,PC:P1,SCHTYPE,Public,190.157501220703,0,1
schtype_pct,MAT,4,2022,NT,PC:P2,SCHTYPE,Public,212.658501434326,0,1
schtype_pct,MAT,4,2022,NT,PC:P5,SCHTYPE,Public,236.488999938965,0,1
schtype_pct,MAT,4,2022,NT,PC:P7,SCHTYPE,Public,258.224996948242,0,1
schtype_pct,MAT,4,2022,NT,PC:P9,SCHTYPE,Public,276.889001464844,0,1
schtype_pct,MAT,4,2022,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2022,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2022,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2022,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2022,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2022,NT,PC:P1,SCHTYPE,Catholic,209.904000854492,0,1
schtype_pct,MAT,4,2022,NT,PC:P2,SCHTYPE,Catholic,227.781999206543,0,1
schtype_pct,MAT,4,2022,NT,PC:P5,SCHTYPE,Catholic,246.163499450684,0,1
schtype_pct,MAT,4,2022,NT,PC:P7,SCHTYPE,Catholic,264.047499084473,0,1
schtype_pct,MAT,4,2022,NT,PC:P9,SCHTYPE,Catholic,281.472499084473,0,1
schtype_pct,MAT,4,2022,NT,PC:P1,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2022,NT,PC:P2,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2022,NT,PC:P5,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2022,NT,PC:P7,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2022,NT,PC:P9,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2022,NT,PC:P1,SCHTYPE,Department of Defense,217.069999694824,0,1
schtype_pct,MAT,4,2022,NT,PC:P2,SCHTYPE,Department of Defense,233.21549987793,0,1
schtype_pct,MAT,4,2022,NT,PC:P5,SCHTYPE,Department of Defense,249.942501831055,0,1
schtype_pct,MAT,4,2022,NT,PC:P7,SCHTYPE,Department of Defense,267.010501098633,0,1
schtype_pct,MAT,4,2022,NT,PC:P9,SCHTYPE,Department of Defense,281.860501098633,0,1
schtype_pct,MAT,4,2024,NT,PC:P1,SCHTYPE,Public,190.273000335693,0,1
schtype_pct,MAT,4,2024,NT,PC:P2,SCHTYPE,Public,214.722999572754,0,1
schtype_pct,MAT,4,2024,NT,PC:P5,SCHTYPE,Public,239.90950012207,0,1
schtype_pct,MAT,4,2024,NT,PC:P7,SCHTYPE,Public,261.854501342773,0,1
schtype_pct,MAT,4,2024,NT,PC:P9,SCHTYPE,Public,279.93399810791,0,1
schtype_pct,MAT,4,2024,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2024,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2024,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2024,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2024,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2024,NT,PC:P1,SCHTYPE,Catholic,208.040999603272,0,1
schtype_pct,MAT,4,2024,NT,PC:P2,SCHTYPE,Catholic,228.186999511719,0,1
schtype_pct,MAT,4,2024,NT,PC:P5,SCHTYPE,Catholic,248.945998382568,0,1
schtype_pct,MAT,4,2024,NT,PC:P7,SCHTYPE,Catholic,267.557498168945,0,1
schtype_pct,MAT,4,2024,NT,PC:P9,SCHTYPE,Catholic,283.502496337891,0,1
schtype_pct,MAT,4,2024,NT,PC:P1,SCHTYPE,Bureau of Indian Education,164.541500854492,0,1
schtype_pct,MAT,4,2024,NT,PC:P2,SCHTYPE,Bureau of Indian Education,184.19400100708,0,1
schtype_pct,MAT,4,2024,NT,PC:P5,SCHTYPE,Bureau of Indian Education,206.220499420166,0,1
schtype_pct,MAT,4,2024,NT,PC:P7,SCHTYPE,Bureau of Indian Education,227.231000518799,0,1
schtype_pct,MAT,4,2024,NT,PC:P9,SCHTYPE,Bureau of Indian Education,246.350999450684,0,1
schtype_pct,MAT,4,2024,NT,PC:P1,SCHTYPE,Department of Defense,216.273998260498,0,1
schtype_pct,MAT,4,2024,NT,PC:P2,SCHTYPE,Department of Defense,233.775999450684,0,1
schtype_pct,MAT,4,2024,NT,PC:P5,SCHTYPE,Department of Defense,251.833499145508,0,1
schtype_pct,MAT,4,2024,NT,PC:P7,SCHTYPE,Department of Defense,268.687501525879,0,1
schtype_pct,MAT,4,2024,NT,PC:P9,SCHTYPE,Department of Defense,283.519500732422,0,1
schtype_pct,MAT,8,2003,NT,PC:P1,SCHTYPE,Public,228.483996582031,0,1
schtype_pct,MAT,8,2003,NT,PC:P2,SCHTYPE,Public,252.680001831055,0,1
schtype_pct,MAT,8,2003,NT,PC:P5,SCHTYPE,Public,277.812005615235,0,1
schtype_pct,MAT,8,2003,NT,PC:P7,SCHTYPE,Public,301.415997314453,0,1
schtype_pct,MAT,8,2003,NT,PC:P9,SCHTYPE,Public,321.285998535156,0,1
schtype_pct,MAT,8,2003,NT,PC:P1,SCHTYPE,Other private,249.088000488281,0,1
schtype_pct,MAT,8,2003,NT,PC:P2,SCHTYPE,Other private,273.509991455078,0,1
schtype_pct,MAT,8,2003,NT,PC:P5,SCHTYPE,Other private,296.161999511719,0,1
