dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype,MAT,4,2013,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2013,NT,MN:MN,SCHTYPE,Catholic,246.088042104697,0,1
schtype,MAT,4,2013,NT,MN:MN,SCHTYPE,Bureau of Indian Education,212.438963443738,0,1
schtype,MAT,4,2013,NT,MN:MN,SCHTYPE,Department of Defense,245.011026513753,0,1
schtype,MAT,4,2015,NT,MN:MN,SCHTYPE,Public,239.854464419686,0,1
schtype,MAT,4,2015,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2015,NT,MN:MN,SCHTYPE,Catholic,246.904084101598,0,1
schtype,MAT,4,2015,NT,MN:MN,SCHTYPE,Bureau of Indian Education,999,272,0
schtype,MAT,4,2015,NT,MN:MN,SCHTYPE,Department of Defense,247.575135416134,0,1
schtype,MAT,4,2017,NT,MN:MN,SCHTYPE,Public,239.162886473073,0,1
schtype,MAT,4,2017,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2017,NT,MN:MN,SCHTYPE,Catholic,245.154130986877,0,1
schtype,MAT,4,2017,NT,MN:MN,SCHTYPE,Bureau of Indian Education,216.168652348688,0,1
schtype,MAT,4,2017,NT,MN:MN,SCHTYPE,Department of Defense,248.591912191478,0,1
schtype,MAT,4,2019,NT,MN:MN,SCHTYPE,Public,240.003829218706,0,1
schtype,MAT,4,2019,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2019,NT,MN:MN,SCHTYPE,Catholic,246.086908372994,0,1
schtype,MAT,4,2019,NT,MN:MN,SCHTYPE,Bureau of Indian Education,215.115184835526,0,1
schtype,MAT,4,2019,NT,MN:MN,SCHTYPE,Department of Defense,250.478561062457,0,1
schtype,MAT,4,2022,NT,MN:MN,SCHTYPE,Public,234.858970982728,0,1
schtype,MAT,4,2022,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2022,NT,MN:MN,SCHTYPE,Catholic,245.648586368988,0,1
schtype,MAT,4,2022,NT,MN:MN,SCHTYPE,Bureau of Indian Education,999,257,0
schtype,MAT,4,2022,NT,MN:MN,SCHTYPE,Department of Defense,249.601095028826,0,1
schtype,MAT,4,2024,NT,MN:MN,SCHTYPE,Public,237.304735709431,0,1
schtype,MAT,4,2024,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,4,2024,NT,MN:MN,SCHTYPE,Catholic,247.133466537353,0,1
schtype,MAT,4,2024,NT,MN:MN,SCHTYPE,Bureau of Indian Education,205.868528232543,0,1
schtype,MAT,4,2024,NT,MN:MN,SCHTYPE,Department of Defense,250.714244001522,0,1
schtype,MAT,8,2003,NT,MN:MN,SCHTYP2,Public,276.115275580545,0,1
schtype,MAT,8,2003,NT,PC:P1,SCHTYP2,Public,228.483996582031,0,1
schtype,MAT,8,2003,NT,PC:P2,SCHTYP2,Public,252.680001831055,0,1
schtype,MAT,8,2003,NT,PC:P5,SCHTYP2,Public,277.812005615235,0,1
schtype,MAT,8,2003,NT,PC:P7,SCHTYP2,Public,301.415997314453,0,1
schtype,MAT,8,2003,NT,PC:P9,SCHTYP2,Public,321.285998535156,0,1
schtype,MAT,8,2003,NT,MN:MN,SCHTYP2,Private,291.697453007892,0,1
schtype,MAT,8,2003,NT,PC:P1,SCHTYP2,Private,248.811999511719,0,1
schtype,MAT,8,2003,NT,PC:P2,SCHTYP2,Private,270.386004638672,0,1
schtype,MAT,8,2003,NT,PC:P5,SCHTYP2,Private,293.179998779297,0,1
schtype,MAT,8,2003,NT,PC:P7,SCHTYP2,Private,314.334002685547,0,1
schtype,MAT,8,2003,NT,PC:P9,SCHTYP2,Private,332.536004638672,0,1
schtype,MAT,8,2005,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,MAT,8,2005,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,MAT,8,2005,NT,PC:P2,SCHTYP2,Public,999,288,0
schtype,MAT,8,2005,NT,PC:P5,SCHTYP2,Public,999,288,0
schtype,MAT,8,2005,NT,PC:P7,SCHTYP2,Public,999,288,0
