year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
2019,R3,2019,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,1.9664116793221,1,0
2022,R3,2022,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,34.3044617228644,1,0
2022,R3,2022,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,33.2417068576317,1,0
2022,R3,2022,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,16.2434871340389,1,0
2022,R3,2022,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,11.0122617934372,1,0
2022,R3,2022,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,5.1980824920278,1,0
2024,R3,2024,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,33.3348037096756,1,0
2024,R3,2024,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,37.1726483571244,1,0
2024,R3,2024,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,17.9014031988844,1,0
2024,R3,2024,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,8.29202576574114,1,0
2024,R3,2024,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,3.29911896857445,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,225.462359382365,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,221.66110460177,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,217.030756709693,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,215.600474723665,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,193.132859123469,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,226.971749527149,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,222.331284968196,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,215.119734294724,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,213.922800590347,1,0
2015,R3,2015,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,192.494814138669,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,228.377732683787,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,224.976737725553,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,218.600121779705,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,210.05412609961,1,0
2017,R3,2017,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,183.157470610486,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,227.780812264704,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,222.267031704278,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,215.354324261682,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,207.816387156096,1,0
2019,R3,2019,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,185.106625874155,1,0
2022,R3,2022,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,227.069894856806,1,0
2022,R3,2022,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,220.657462165926,1,0
2022,R3,2022,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,213.378755151228,1,0
2022,R3,2022,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,209.305657541348,1,0
2022,R3,2022,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,192.993472232487,1,0
2024,R3,2024,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,223.411293485732,1,0
2024,R3,2024,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,219.062198663468,1,0
2024,R3,2024,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,211.969382307501,1,0
2024,R3,2024,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,202.76159808428,1,0
2024,R3,2024,1,Grade 4,MN:MN,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,182.196766586077,1,0
2013,R3,2013,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,50.5309707675786,1,0
2013,R3,2013,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,29.949507149036,1,0
2013,R3,2013,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,12.020533420347,1,0
2013,R3,2013,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,5.13839381265578,1,0
2013,R3,2013,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,2.36059485038255,1,0
2015,R3,2015,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,51.9799073103147,1,0
2015,R3,2015,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,29.2679181750447,1,0
2015,R3,2015,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,11.3711296869724,1,0
2015,R3,2015,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,4.7926494206876,1,0
2015,R3,2015,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,2.5883954069806,1,0
2017,R3,2017,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,44.5448092868693,1,0
2017,R3,2017,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,32.3863914950207,1,0
2017,R3,2017,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,13.3321032615101,1,0
2017,R3,2017,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,5.75884331304041,1,0
2017,R3,2017,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,3.97785264355951,1,0
2019,R3,2019,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,43.7463521860648,1,0
2019,R3,2019,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,31.7541475646992,1,0
2019,R3,2019,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,13.4897734429987,1,0
2019,R3,2019,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,6.53546008806232,1,0
2019,R3,2019,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,4.47426671817491,1,0
2022,R3,2022,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,38.0228842375563,1,0
2022,R3,2022,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,27.1465522454422,1,0
2022,R3,2022,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,13.8041708572993,1,0
2022,R3,2022,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,11.3882104203529,1,0
2022,R3,2022,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,9.63818223934921,1,0
2024,R3,2024,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,37.6180771922262,1,0
2024,R3,2024,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,31.5251633461754,1,0
2024,R3,2024,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,15.5665537639748,1,0
2024,R3,2024,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,8.82204125752488,1,0
2024,R3,2024,1,Grade 4,RP:RP,RED,4,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,6.46816444009875,1,0
2013,R3,2013,2,Grade 8,MN:MN,RED,8,RRPCM,NT,National,B018101,Days absent from school in the last month,1,None,271.329393882018,1,0
2013,R3,2013,2,Grade 8,MN:MN,RED,8,RRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,268.528660769491,1,0
2013,R3,2013,2,Grade 8,MN:MN,RED,8,RRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,260.466896314647,1,0
2013,R3,2013,2,Grade 8,MN:MN,RED,8,RRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,257.685881733436,1,0
2013,R3,2013,2,Grade 8,MN:MN,RED,8,RRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,242.283021254492,1,0
