wave,state,county_fips,county_pop,n_blocks_total,n_blocks_covered,share_mobile_any,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,share_mobile_t6_vzw,share_anywless_t7
2010-06,CA,06075,776733,5830,5820,0.999981,0.000000,0.000000,0.000000,0.000000,0.217723
2010-06,CA,06077,563598,8427,8427,0.999972,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06079,246681,7193,6876,0.991848,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06081,707161,8300,8107,0.997599,0.000000,0.000000,0.000000,0.000000,0.927212
2010-06,CA,06083,399347,7498,7344,0.998306,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06085,1682585,18528,18482,0.999799,0.000000,0.000000,0.000000,0.000000,0.999588
2010-06,CA,06087,255602,3625,3555,0.990644,0.000000,0.000000,0.000000,0.000000,0.966633
2010-06,CA,06089,163256,6422,5909,0.990834,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06091,3555,1345,778,0.738852,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06093,44301,8795,7062,0.951377,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06095,394542,4822,4822,0.999960,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06097,458614,8422,8156,0.993627,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06099,446997,7307,7284,0.999933,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06101,78930,2389,2389,0.999976,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06103,56039,4110,3492,0.996377,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06105,13022,2415,1600,0.759700,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06107,368021,9612,9193,0.995842,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06109,54501,3162,425,0.083187,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06111,753197,9945,9872,0.999076,0.823865,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06113,168660,2890,2874,0.999292,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CA,06115,60219,2452,2418,0.989177,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08001,363857,6923,6923,0.999989,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08003,14966,989,989,0.999990,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08005,487967,6563,6563,0.999966,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08007,9898,990,829,0.931651,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08009,4517,1117,1079,0.963595,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08011,5998,757,756,0.998523,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08013,291288,6061,5772,0.983654,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08015,16242,1362,1337,0.989050,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08017,2231,411,411,0.994971,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08019,9322,876,849,0.977715,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08021,8400,1011,964,0.990165,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08023,3663,2946,2922,0.933729,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08025,5518,425,421,0.988334,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08027,3503,594,591,0.949600,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08029,27834,1592,1555,0.981325,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08031,554636,9222,9222,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08033,1844,360,241,0.536538,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08035,175766,3485,3471,0.998738,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08037,41659,1743,1483,0.982869,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08039,19872,1073,1055,0.968289,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08041,516929,8859,8781,0.997714,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08043,46145,1875,1859,0.995971,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08045,43791,2520,2170,0.989650,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08047,4757,509,303,0.458421,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08049,12442,1946,1812,0.993183,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08051,13956,2287,1542,0.908980,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08053,790,336,68,0.036041,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08055,7862,1123,1117,0.990929,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08057,1577,1064,841,0.892663,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08059,527056,10601,10548,0.998042,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08061,1622,455,364,0.815746,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,CO,08063,8011,1202,1202,0.999502,0.000000,0.000000,0.000000,0.000000,0.000000
