wave,county_fips,county_pop,share_mobile_any,share_anywless_t6,share_anywless_t7,share_anywless_t8,source,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,mobile_t7_any,mobile_any_any
2011-06,05107,21310.0,1.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05109,11203.0,0.9027,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05111,24521.0,0.9943,0.002,0.0,0.0,analyze_table,,,,,
2011-06,05113,20701.0,0.8866,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05115,62812.0,0.9646,0.0569,0.0,0.0,analyze_table,,,,,
2011-06,05117,8565.0,1.0,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05119,384787.0,0.9996,0.0023,0.0,0.0,analyze_table,,,,,
2011-06,05121,17974.0,0.9259,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05123,27754.0,0.992,0.0004,0.0,0.0,analyze_table,,,,,
2011-06,05125,109720.0,0.9971,0.4505,0.0,0.0,analyze_table,,,,,
2011-06,05127,11403.0,0.8605,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05129,8303.0,0.796,0.5812,0.0,0.0,analyze_table,,,,,
2011-06,05131,127130.0,0.9957,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05133,17462.0,0.9535,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05135,17291.0,0.9342,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05137,12508.0,0.7153,0.3114,0.0,0.0,analyze_table,,,,,
2011-06,05139,41489.0,0.9635,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05141,17430.0,0.9012,0.4454,0.0,0.0,analyze_table,,,,,
2011-06,05143,207427.0,0.9817,0.4701,0.47,0.0,analyze_table,,,,,
2011-06,05145,78320.0,0.9772,0.0141,0.0,0.0,analyze_table,,,,,
2011-06,05147,7068.0,0.9973,0.0,0.0,0.0,analyze_table,,,,,
2011-06,05149,22549.0,0.9293,0.0008,0.0,0.0,analyze_table,,,,,
2011-06,06001,1525730.0,0.9998,0.9973,0.9179,0.0,analyze_table,,,,,
2011-06,06003,1118.0,0.729,0.0085,0.0085,0.0,analyze_table,,,,,
2011-06,06005,38014.0,0.9492,0.4011,0.1429,0.0,analyze_table,,,,,
2011-06,06007,221156.0,0.9929,0.9961,0.0164,0.0,analyze_table,,,,,
2011-06,06009,45851.0,0.8414,0.1976,0.0147,0.0,analyze_table,,,,,
2011-06,06011,21938.0,0.9898,0.9486,0.0081,0.0,analyze_table,,,,,
2011-06,06013,1059297.0,0.9998,0.9891,0.9585,0.0,analyze_table,,,,,
