county_fips,county_pop,state,n_waves_observed,first_t6_25,never_t6_25_by_jun2014,first_t6_50,never_t6_50_by_jun2014,first_t6_75,never_t6_75_by_jun2014,first_t7_25,never_t7_25_by_jun2014,first_t7_50,never_t7_50_by_jun2014,first_t7_75,never_t7_75_by_jun2014
35053,17866,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35055,32937,NM,9,2012-12,False,2012-12,False,,True,2012-12,False,2012-12,False,,True
35057,16383,NM,9,2012-06,False,2012-12,False,2013-12,False,2012-06,False,2012-12,False,2014-06,False
35059,4549,NM,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
35061,76569,NM,9,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
36001,304204,NY,9,2010-06,False,2010-06,False,2010-06,False,2011-12,False,2011-12,False,2011-12,False
36003,48946,NY,9,2012-06,False,2012-06,False,2012-12,False,2012-06,False,2012-06,False,2012-12,False
36005,1385108,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36007,200600,NY,9,2010-12,False,2011-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
36009,80317,NY,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
36011,80026,NY,9,2011-12,False,2011-12,False,2012-12,False,2011-12,False,2011-12,False,2012-12,False
36013,134905,NY,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
36015,88830,NY,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
36017,50477,NY,9,2013-06,False,2013-06,False,2013-12,False,2013-06,False,2013-06,False,2013-12,False
36019,82128,NY,9,2012-12,False,2013-12,False,2013-12,False,2012-12,False,2013-12,False,2013-12,False
36021,63096,NY,9,2011-12,False,2012-12,False,2013-12,False,2011-12,False,2012-12,False,2013-12,False
36023,49336,NY,9,2011-12,False,2011-12,False,2013-06,False,2011-12,False,2011-12,False,2013-06,False
36025,47980,NY,9,2013-06,False,2013-12,False,,True,2013-06,False,2013-12,False,,True
36027,297488,NY,9,2011-12,False,2011-12,False,2012-06,False,2011-12,False,2011-12,False,2012-06,False
36029,919040,NY,9,2010-06,False,2010-06,False,2010-06,False,2011-12,False,2011-12,False,2011-12,False
36031,39370,NY,9,2013-12,False,2013-12,False,2014-06,False,2013-12,False,2013-12,False,2014-06,False
36033,51599,NY,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
36035,55531,NY,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
36037,60079,NY,9,2011-12,False,2013-06,False,2013-06,False,2011-12,False,2013-06,False,2013-06,False
36039,49221,NY,9,2011-12,False,2012-12,False,2012-12,False,2011-12,False,2012-12,False,2012-12,False
36041,4836,NY,9,2014-06,False,2014-06,False,,True,2014-06,False,2014-06,False,,True
36043,64519,NY,9,2011-12,False,2011-12,False,2012-12,False,2011-12,False,2011-12,False,2012-12,False
36045,116229,NY,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
36047,2504700,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36049,27087,NY,9,2013-06,False,2013-12,False,2013-12,False,2013-06,False,2013-12,False,2013-12,False
36051,65393,NY,9,2010-12,False,2010-12,False,2012-06,False,2010-12,False,2010-12,False,2012-06,False
36053,73442,NY,9,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
